,Name,Age,Team,PA,1B,2B,3B,HR,R,SO,SB,BB,HBP,wOBA,wRAA,BA,SLG,OBP,BAbip,bat-WAR,Reliability
124,John Dyer,24.0,Evansville Otters,158.928,22,7,0,2,19,37,3,14,4,0.2685,-4.449241353951058,0.22627737226277372,0.32116788321167883,0.3083157152924595,0.29292929292929293,-0.4449241353951058,0.16000000000000003
125,John Fiorenza,24.0,Schaumburg Boomers,193.844,28,7,0,3,23,46,3,18,4,0.27353684210526313,-5.00418092238804,0.2275449101796407,0.32335329341317365,0.30952724871546194,0.29411764705882354,-0.500418092238804,0.30500000000000005
126,John Mead,26.0,Tri-City Valley Cats,196.67999999999998,29,6,0,5,24,47,3,18,3,0.2866958762886598,-2.8157070263395196,0.23255813953488372,0.3546511627906977,0.31014846451088063,0.2892561983471074,-0.28157070263395195,0.32499999999999996
127,Johnny Hipsman,24.0,Sussex County Miners,216.118,38,6,1,4,27,49,4,22,3,0.30946009389671364,0.6648953597886389,0.2648648648648649,0.372972972972973,0.3424055377155073,0.3333333333333333,0.0664895359788639,0.39749999999999996
128,Johnny Tuccillo,25.0,Lake Erie Crushers,246.189,31,10,0,4,29,51,3,21,8,0.25803719008264464,-9.154254122022941,0.2132701421800948,0.3175355450236967,0.3005820731226822,0.25949367088607594,-0.9154254122022941,0.5275000000000001
129,Jomar Reyes,27.0,Evansville Otters,351.056,70,20,0,6,43,54,3,12,8,0.30854755043227666,0.4673863017993553,0.294478527607362,0.4110429447852761,0.3304316120504991,0.33707865168539325,0.04673863017993553,0.98
130,Jonathan Lacroix,27.0,Capitales de Québec,251.07619999999997,39,13,0,1,27,42,6,24,4,0.2806356275303644,-4.656416854048718,0.24537037037037038,0.3194444444444444,0.3226112232063414,0.29545454545454547,-0.46564168540487183,1.0
131,Jonathan Soto,25.0,New Jersey Jackals,146.156,21,5,0,2,17,34,3,13,2,0.2644685314685315,-4.919747219077557,0.2204724409448819,0.30708661417322836,0.29420619064561154,0.2826086956521739,-0.4919747219077557,0.10999999999999999
132,Jonathan Waite,25.0,Windy City ThunderBolts,215.041,29,7,0,4,22,49,3,24,6,0.27846698113207546,-4.368156521741777,0.22099447513812154,0.3259668508287293,0.32551931957161656,0.27906976744186046,-0.43681565217417767,0.39749999999999996
133,Jordan Hovey,26.0,Windy City ThunderBolts,143.636,20,4,0,2,17,37,4,13,2,0.25313475177304967,-6.015950758937733,0.208,0.288,0.2854437606171155,0.27586206896551724,-0.6015950758937734,0.10250000000000004
134,Jordan Howard,28.0,New Jersey Jackals,156.94,23,5,0,2,19,37,5,15,3,0.26782352941176474,-3.9785742404678768,0.22388059701492538,0.30597014925373134,0.30584936918567607,0.2916666666666667,-0.3978574240467877,0.16500000000000004
135,Jordan Scott,27.0,Empire State Greys,317.0178,41,9,1,6,32,87,7,34,2,0.2704664536741214,-8.91567783637481,0.20727272727272728,0.31272727272727274,0.29335892180186723,0.27717391304347827,-0.891567783637481,1.0
